Gene
232705_at	LRRFIP2
232969_at	CARD8
232977_x_at	MYH14
233052_at	DNAH8
233254_x_at	PTEN
233317_at	CD9
233322_at	CD9
233430_at	TBC1D22B
233510_s_at	PARVG
233933_s_at	OTUD5
233982_x_at	STYXL1
234290_x_at	MYH14
234362_s_at	CTLA4
234393_at	HDAC9
234653_at	NLRP2B
234702_x_at	CFTR
234706_x_at	CFTR
234721_s_at	CYP26B1
234895_at	CTLA4
234943_at	LOC400927-CSNK1E///LOC400927///CSNK1E
235006_at	CDKN2AIPNL
235244_at	CCDC58
235377_at	MLIP
235475_at	SERP1
235560_at	NOVA2
235618_at	ZNF507
236094_at	TCF7L2
236247_at	NSUN4
236313_at	CDKN2B
236320_at	CCDC17
236341_at	CTLA4
236539_at	PTPN22
236843_at	NOX4
236862_at	GOPC
236922_at	NCK1
237054_at	ENPP5
237132_at	TJP2
237142_at	PPARA
237249_at	LOC101927338///KCNQ1OT1
237646_x_at	PLEKHG5
238441_at	PRKAA2
238489_at	PRKAA2
238534_at	LRRFIP1
238566_at	ZNF334
238581_at	GBP5
238624_at	LOC102724517///NLK
238840_at	LRRFIP1
238846_at	TNFRSF11A
238900_at	LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1
238904_at	NOVA2
238933_at	IRS1
238996_x_at	ALDOA
239021_at	TLR6
239132_at	NOS1
239190_at	VRK3
239252_at	COX7B
239412_at	IRF5
239427_at	SLAMF1
239835_at	KBTBD8
239983_at	SLC30A8
240349_at	PRKAA2
240637_at	WDR41
240911_at	NOS1
241072_s_at	IGF1
241331_at	SKAP2
241345_at	MIR186///ZRANB2
241463_at	EIF2AK3
241959_at	ANAPC10
242197_x_at	CD36
242317_at	HIGD1A
242622_x_at	PTEN
242773_at	SLC5A1
242898_at	EIF2AK2
242979_at	IRS1
242991_at	TJP2
243103_at	SYNGR2
243213_at	STAT3
243428_at	LOC101927338///KCNQ1OT1
243435_at	LOC101927338///KCNQ1OT1
243722_at	PYDC1
244209_at	LBX1-AS1
244225_x_at	LMNA
244229_at	PARVG
244485_at	HLA-DPB1
244487_at	NCK1
244661_at	SOAT1
244689_at	PPARA
244727_at	LOC101927338///KCNQ1OT1
34858_at	KCTD2
35150_at	CD40
36566_at	CTNS
48531_at	TNIP2
AFFX-HUMISGF3A/M97935_3_at	STAT1
AFFX-HUMISGF3A/M97935_5_at	STAT1
